證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
030614,長榮元大0A購09,0,0,0,--,--,--,--, ,0.00,17.40,100,--,0,136.50
030615,長榮元大0A購10,"10,000",2,"114,100",11.40,11.50,11.40,11.50,-,1.60,11.90,100,--,0,136.50
030616,裕民元大0B購01,0,0,0,--,--,--,--, ,0.00,4.12,100,5.00,12,62.60
030617,東森元大0A購01,"134,000",28,"786,600",5.95,7.25,5.60,6.95,+,0.80,6.10,1,6.95,6,28.60
030618,萬海元大0A購02,0,0,0,--,--,--,--, ,0.00,26.10,100,--,0,206.00
030619,萬海元大0A購03,0,0,0,--,--,--,--, ,0.00,21.80,100,--,0,206.00
03061F,恒指麥證06購02,0,0,0,--,--,--,--, ,0.00,0.01,998,0.02,142,0.00
030620,長榮航元大0A購02,0,0,0,--,--,--,--, ,0.00,3.59,100,--,0,20.30
030621,華晶科元大0A購01,0,0,0,--,--,--,--, ,0.00,0.71,20,0.79,10,35.65
030622,華晶科元大0A購02,0,0,0,--,--,--,--, ,0.00,0.96,100,0.97,50,35.65
030623,景碩元大0C購01,"15,000",3,"28,300",1.70,1.90,1.70,1.90,+,0.31,1.81,100,1.91,17,122.00
030624,玉晶光元大11購01,"29,000",3,"43,320",1.48,1.50,1.48,1.50,X,0.00,1.49,499,1.55,10,527.00
030625,立積元大0A購05,"20,000",3,"9,400",0.46,0.49,0.46,0.49,+,0.03,0.49,100,0.50,50,522.00
030626,立積元大0B購02,0,0,0,--,--,--,--, ,0.00,0.72,100,0.73,50,522.00
030627,松翰元大0A購04,0,0,0,--,--,--,--, ,0.00,0.42,100,0.44,50,96.50
030628,彩晶元大0A購06,0,0,0,--,--,--,--, ,0.00,3.25,1,4.41,1,22.15
030629,彩晶元大0A購07,0,0,0,--,--,--,--, ,0.00,3.34,10,--,0,22.15
03062F,恒指麥證09購01,0,0,0,--,--,--,--, ,0.00,1.37,998,1.38,998,0.00
030630,盛群元大0A購01,"817,000",27,"1,453,840",1.61,1.98,1.54,1.98,+,0.24,1.98,7,2.02,50,109.50
030631,台郡元大0C購01,"797,000",50,"873,480",1.11,1.13,1.07,1.13, ,0.00,1.12,10,1.13,9,122.50
030632,惠特元大0A購01,"320,000",4,"156,300",0.45,0.49,0.45,0.49,+,0.04,0.49,499,0.51,50,178.50
030633,惠特元大0A購02,"299,000",4,"187,180",0.61,0.66,0.61,0.66,+,0.07,0.65,10,0.66,50,178.50
030634,致新元大0A購01,"38,000",3,"38,940",1.02,1.04,0.98,1.04,X,0.00,1.18,100,1.28,10,233.00
030635,致新元大0A購02,0,0,0,--,--,--,--, ,0.00,1.03,100,1.13,10,233.00
